UserId;Name;MovieId;Title;Ratings
1;Hania;0;AADC 2;3
1;Hania;1;Gundala;5
1;Hania;2;Dilan 1991;4
1;Hania;3;Bumi Manusia;4
1;Hania;4;Dua Garis Biru;4
2;Topik;5;Avengers End Game;5
2;Topik;6;The Lion King;5
2;Topik;8;Spiderman Far From Home;4
2;Topik;9;Captain Marvel;2
3;Firli;5;Avengers End Game;3
3;Firli;9;Captain Marvel;4
4;Frans;0;AADC 2;4
4;Frans;1;Gundala;4
4;Frans;2;Dilan 1991;4
4;Frans;3;Bumi Manusia;5
4;Frans;4;Dua Garis Biru;3
4;Frans;5;Avengers End Game;5
4;Frans;6;The Lion King;4
4;Frans;7;Aladdin;5
4;Frans;8;Spiderman Far From Home;4
4;Frans;9;Captain Marvel;4
5;Indra;0;AADC 2;3
5;Indra;2;Dilan 1991;2
5;Indra;4;Dua Garis Biru;5
5;Indra;5;Avengers End Game;5
5;Indra;7;Aladdin;1
5;Indra;8;Spiderman Far From Home;5
5;Indra;9;Captain Marvel;5
6;Andre;5;Avengers End Game;4
6;Andre;6;The Lion King;2
6;Andre;7;Aladdin;5
6;Andre;8;Spiderman Far From Home;4
6;Andre;9;Captain Marvel;3
7;Genjeh;0;AADC 2;5
7;Genjeh;1;Gundala;4
7;Genjeh;2;Dilan 1991;3
7;Genjeh;5;Avengers End Game;5
7;Genjeh;7;Aladdin;5
7;Genjeh;8;Spiderman Far From Home;4
7;Genjeh;9;Captain Marvel;4
8;Faizah;0;AADC 2;3
8;Faizah;2;Dilan 1991;5
8;Faizah;3;Bumi Manusia;5
8;Faizah;4;Dua Garis Biru;4
8;Faizah;5;Avengers End Game;5
9;Devita;0;AADC 2;5
9;Devita;1;Gundala;4
9;Devita;2;Dilan 1991;4
9;Devita;5;Avengers End Game;5
9;Devita;8;Spiderman Far From Home;5
9;Devita;9;Captain Marvel;5
10;Putri;0;AADC 2;4
10;Putri;1;Gundala;3
10;Putri;2;Dilan 1991;2
10;Putri;3;Bumi Manusia;4
10;Putri;4;Dua Garis Biru;3
10;Putri;5;Avengers End Game;5
10;Putri;8;Spiderman Far From Home;4
10;Putri;9;Captain Marvel;3
11;Nonton;0;AADC 2;4
11;Nonton;1;Gundala;3
11;Nonton;2;Dilan 1991;3
11;Nonton;5;Avengers End Game;5
11;Nonton;6;The Lion King;5
11;Nonton;7;Aladdin;5
11;Nonton;8;Spiderman Far From Home;4
11;Nonton;9;Captain Marvel;5
12;Tara;0;AADC 2;5
12;Tara;2;Dilan 1991;5
13;Afifah;0;AADC 2;4
13;Afifah;2;Dilan 1991;4
13;Afifah;3;Bumi Manusia;5
13;Afifah;7;Aladdin;4
13;Afifah;8;Spiderman Far From Home;3
13;Afifah;9;Captain Marvel;4
14;Rima;0;AADC 2;5
14;Rima;1;Gundala;5
14;Rima;2;Dilan 1991;5
14;Rima;3;Bumi Manusia;4
14;Rima;4;Dua Garis Biru;3
14;Rima;5;Avengers End Game;5
14;Rima;6;The Lion King;4
14;Rima;7;Aladdin;5
14;Rima;8;Spiderman Far From Home;5
14;Rima;9;Captain Marvel;5
15;Bunga;1;Gundala;4
15;Bunga;2;Dilan 1991;4
15;Bunga;5;Avengers End Game;5
15;Bunga;6;The Lion King;5
15;Bunga;7;Aladdin;5
15;Bunga;8;Spiderman Far From Home;5
15;Bunga;9;Captain Marvel;5
16;Jawaharal;0;AADC 2;2
16;Jawaharal;1;Gundala;4
16;Jawaharal;2;Dilan 1991;3
16;Jawaharal;4;Dua Garis Biru;5
16;Jawaharal;5;Avengers End Game;5
16;Jawaharal;6;The Lion King;4
16;Jawaharal;7;Aladdin;5
16;Jawaharal;8;Spiderman Far From Home;5
16;Jawaharal;9;Captain Marvel;4
17;Febi;0;AADC 2;4
17;Febi;1;Gundala;3
17;Febi;2;Dilan 1991;4
17;Febi;5;Avengers End Game;5
17;Febi;7;Aladdin;5
17;Febi;8;Spiderman Far From Home;4
17;Febi;9;Captain Marvel;5
18;Star;0;AADC 2;4
18;Star;1;Gundala;4
18;Star;5;Avengers End Game;5
18;Star;6;The Lion King;5
18;Star;7;Aladdin;5
18;Star;9;Captain Marvel;5
19;Indraa;0;AADC 2;4
19;Indraa;4;Dua Garis Biru;4
19;Indraa;5;Avengers End Game;5
19;Indraa;6;The Lion King;5
19;Indraa;7;Aladdin;5
19;Indraa;8;Spiderman Far From Home;5
19;Indraa;9;Captain Marvel;5
20;Indraaa;1;Gundala;5
21;Damar;0;AADC 2;5
21;Damar;5;Avengers End Game;5
21;Damar;8;Spiderman Far From Home;5
22;Dzul;1;Gundala;3
22;Dzul;4;Dua Garis Biru;3
22;Dzul;5;Avengers End Game;3
22;Dzul;6;The Lion King;3
22;Dzul;7;Aladdin;3
22;Dzul;8;Spiderman Far From Home;3
22;Dzul;9;Captain Marvel;3
23;Luck;0;AADC 2;3
23;Luck;5;Avengers End Game;4
23;Luck;9;Captain Marvel;2
24;Maria;6;The Lion King;5
24;Maria;7;Aladdin;4
